audio_path,audio_name,is_forgered_index,is_forgered_category,forgery_type_index,forgery_type_category
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SA1.WAV,SA1,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SA2.WAV,SA2,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1000.WAV,SI1000,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1001.WAV,SI1001,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1002.WAV,SI1002,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1003.WAV,SI1003,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1004.WAV,SI1004,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1005.WAV,SI1005,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1006.WAV,SI1006,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1007.WAV,SI1007,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1009.WAV,SI1009,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1010.WAV,SI1010,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1011.WAV,SI1011,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1012.WAV,SI1012,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1013.WAV,SI1013,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1014.WAV,SI1014,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1015.WAV,SI1015,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1016.WAV,SI1016,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1017.WAV,SI1017,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1018.WAV,SI1018,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1019.WAV,SI1019,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1020.WAV,SI1020,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1021.WAV,SI1021,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1022.WAV,SI1022,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1023.WAV,SI1023,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1024.WAV,SI1024,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1026.WAV,SI1026,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1028.WAV,SI1028,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1029.WAV,SI1029,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1030.WAV,SI1030,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1031.WAV,SI1031,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1033.WAV,SI1033,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1036.WAV,SI1036,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1037.WAV,SI1037,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1038.WAV,SI1038,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1039.WAV,SI1039,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1040.WAV,SI1040,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1041.WAV,SI1041,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1042.WAV,SI1042,0,Original_Audio,0,Original_Audio
C:/Users/rayma/Documents/Proyectos VSCode/Proyectos Python/DatasetConcatenation/OriginalDataset\SI1043.WAV,SI1043,0,Original_Audio,0,Original_Audio
